name,solution,total_nodes,best_iteration,time,hint,optimal_value
data/toy.tsp,21.469413449533647,1,1,0.01,random,21.4
data/western_sahara.tsp,27601.173774493764,4,4,0.59,random,27603.0
data/dijibouti.tsp,6659.431532931465,4,4,0.55,random,6656.0
data/qatar.tsp,9353.517538535598,75,13,385.79,random,9352.0
data/uruguay.tsp,91488.59726548936,4,3,455.01,random,79114.0
data/luxemburgo.tsp,13073.107168894985,4,3,406.91,random,11340.0
data/rwanda.tsp,29675.68190700728,4,4,504.04,random,26051.0
data/zimbabwe.tsp,147230.37244236824,1,1,665.39,random,95345.0
